Name,Origin,Type,Form,Alpha,Beta,HSI,Use,Notes
Adeena,U.S.,Aroma,Pellet,4.25,3.5,30,Boil,"Meet AdeenaTM, the latest release from the ADHA breeding program. Also known as ADHA- 1940, AdeenaTM was initially selected for exceptional vigor, yield, disease resistance, and similarity to Willamette. Following years of expansion, observation, and brewing trials, AdeenaTM has shown herbal and spicy flavor characteristics, with light floral, lemon and pine notes. AdeenaTM has an alpha range between 3.5-5.0%, beta range between 3.0-4.0% and oils ranging from 0.8-1.1. The ~1:1 alpha:beta ratio lends a low, smooth bitterness with a clean finish exceptionally suited for lagers, pilsners, kölsch, and ales. Meaning noble, gentle, and delicate, AdeenaTM is a cross between SummitTM and an English male, has been used as a replacement for Hallertau Mittelfrüh and Styrian Golding. Aroma: herbal, spicy, light floral, lemon, pine notes Typical Analytical Range Co-Hum: 34-38% Total Oil: 0.8-1.1 ml/100g Myrcene: 27.3-29.43% of total oils Caryoph: 14.6-21.9% of total oils Humulene: 31.3-45.4% of total oils Farnesene: 4.3-6.6% of total ADEENA HOP SUBSTITUTIONS Adeena hops carry similar characteristics and flavor profiles as Hallertau Mittlefrüh, Loral, and East Kent Golding making these hops an excellent substitution in your next recipe."
Admiral,United Kingdom,Bittering,Pellet,14.75,5.6,15,Boil,"Bittering hops derived from Wye Challenger. Good high-alpha bittering hops. Used for: Ales Aroma: Primarily for bittering Substitutes: Target, Northdown, Challenger"
African Queen,South African,Both,Pellet,15,2,15,Boil,"A high alpha hop from South Africa with interesting bittering potential and fruity flavors. Fruity aroma includes hints of blueberry, cassis, passion fruit, citrus, stone fruit, black currant, tea, lemongrass and even chili. Can be used both for bittering and as a late addition."
Aged Hop Blend,U.S.,Aroma,Pellet,1.5,2,30,Boil,"From Yakima Chief Hops - a blend of aged hops. Aroma Profile: Dried Fruit, Hay, Herbal, Woody"
Agnus,Czech Republic,Bittering,Pellet,10.5,5.25,15,Boil,"Several large Czech breweries like Agnus as a bittering hop because its alpha/beta ratio is relatively high, which they believe makes their beer more stable. High geraniol level, oils indicate dry hopping potential. Used for: Ales Aroma: Strong hop aroma, spicy Substitutions: Unknown Storage: Unknown 9-15% AA / 4-8% Beta"
Ahhhroma Hops,U.S.,Both,Pellet,16.1,8.1,30,Boil,"Ahhhroma was a serendipitous discovery from Glacier Hops Ranch's original research hopyard, where a cross-bred seed emerged as a mix of the up to 44 different hop varieties that have been grown there. This mysterious origin story adds a layer of intrigue to the hop, which has been cultivated and pursued over the years for its surprising and valuable characteristics. With an alpha acid percentage that ranges from 15% to 19%, Ahhhroma stands out as a super-alpha bittering hop, capable of delivering a robust bitterness that is essential for many beer styles. However, the true allure of Ahhhroma lies in its aromatic profile, which is rich in oils and presents a bold tropical fruit character. Brewers will appreciate the hop's versatility, as it can impart a nuanced flavor profile reminiscent of a Piña Colada, bursting with notes of pineapple, pear, mango, and lime. The hop carries secondary notes of stone fruit, watermelon, and even subtle spices like cinnamon and nutmeg. It is especially suitable for heavily hopped beer styles such as India Pale Ales, including the traditional, New England, Hazy, and Imperial varieties, as well as Pale Ales and India Pale Lagers. Flavor/Aroma: Cinnamon, Lime, Mango, Nutmeg, Pear, Stone Fruit, Pineapple, Tropical Fruits"
Ahtanum,U.S.,Aroma,Pellet,6,5.25,30,Boil,"Distinctive aromatic hops with moderate bittering power from Washington. Used for: American ales and lagers Aroma: Distinctive floral and citrus aromas Substitutes: Amarillo, Cascade"
Aloha,U.S.,Both,Pellet,9.8,2,30,Boil,"The Aloha hop is a relatively lesser-known variety in the world of brewing. Although it has not gained widespread popularity, the Aloha hop offers an intriguing flavor profile that can inspire unique and exciting beer creations for adventurous homebrewers. Characterized by a delightful blend of berry, citrus, floral, and fruity notes, the Aloha hop lends itself perfectly to crafting beers with a refreshing and vibrant taste. This versatile hop can be utilized in various beer styles, including Pale Ales, IPAs, and even fruited sours. When using Aloha hops in your homebrew, consider incorporating them in late boil additions or dry hopping to maximize their aromatic and flavorful potential. As a homebrewer, experimenting with the lesser-known Aloha hop variety can lead to the discovery of new and exciting flavor combinations, resulting in a truly unique tasting experience. Flavor/Aroma: Berries, Citrus, Floral, Fruity, Sweet"
Alora,U.S.,Aroma,Pellet,8.5,3.75,30,Boil,"New aroma variety with unique oil chemistry and high bound 3MH thiols Aroma: Peach, Yuzu Fruit, Sweet Melon, apricot Alpha Acid: 7.0 - 10.0% Beta Acid: 3.5 - 4.0% Total Oil: 0.8 - 1.3 ml/100g"
Altus,U.S.,Bittering,Pellet,15,4.25,30,Boil,"A high alpha hop packed with spicy, dank, and resinous aromas that lend to soft tangerine and herbal notes in finished beer. Aroma: Spicy - resinous, tangerine, citrusy, herbal, dank, grassy Alpha Acid: 13.5 - 16.5% Beta Acid: 3.5 - 5.0% Total Oil: 3.0 - 4.0 ml/100g"
Amallia,US,Both,Pellet,7,6,15,Boil,A native plant from New Mexico and part of the neomexicana varietal. Trialed by Michigan State University in 2014. A deeply earthy aroma with flavors of orange citrus. Well suited for brown or dark ales.
Amarillo,U.S.,Aroma,Pellet,9.2,6,20,Boil,"Discovered and introduced by Vigil Gamache Farms Inc. in Washington State. Character similar to Cascade. Often used as a late kettle or dry hop addition to American style Pale Ales and IPA’s due to its signature aroma characteristics. Used for both bitterness and aroma. Used for: IPAs, Ales Aroma: Intensely fruity (citrus, melon, and stone friuts), floral, tropical notes. Substitutes: Cascade, Centennial, Simcoe Storage: Good 8-11% AA / 6-7% Beta"
Amarillo GR VGXP01,U.S.,Aroma,Pellet,9,7.5,30,Boil,"Discovered by Virgil Gamache Farms, Amarillo® Brand VGXP01 is one of the top ten aroma varieties utilized by craft brewers. It features relatively high alpha acids along with extremely high levels of myrcene for citrus and grapefruit flavors. Aroma Profile: Citrus, Herbal, Spicy, Stone Fruit, Woody"
Amarillo Gold,U.S.,Aroma,Pellet,8.5,6,20,Boil,"Unknown origin, but character similar to Cascade. Used for both bitterness and aroma. Used for: IPAs, Ales Aroma: Citrus, flowery Substitutes: Cascade, Centennial"
Amethyst,Czech Republic,Aroma,Pellet,4.5,7.5,15,Boil,"Low alpha aroma hops related to saaz grown in the Czech Republic. Citrusy, earthly and spicy. Substitutes: Saaz"
Amira,Germany,Bittering,Pellet,10,5,30,Boil,"Breeding/Development: From the HVG Hop Breeding Program, Amira boasts genetics from wild and domestic hops from Germany, Russia, the UK, and the US, including Brewers Gold. In the field it is heat- and drought-stable with vigorous growth and high yields. Sensory: Classic hoppy, slightly herbal aroma with hints of citrus (lemon). Spicy and sweet fruit undertones. Early sensory feedback compared Amira to Perle and Hallertau Tradition. Brewing Application: Aroma and finishing additions. Amira works well as a solo hop or part of a blend in traditional German beer styles as well as craft lagers: use it for Pilsner, Vienna, Kolsch, Altbier, Bock, and more."
Amora Preta,Poland,Aroma,Pellet,9,3.5,30,Boil,"The Amora Preta hop is an intriguing fusion of potency and flavor, marked by a robust alpha acid content and a captivatingly intense fruity aroma. This hop variety intertwines tropical allure with the essence of Polish forest fruits, most notably blackberries, while harmonizing with complimentary resins and zest (mandarin, oranges, red grapefruit, lime). Amora Preta stands as the epitome of excellence for Single Hop beers. Flavor: Amora Preta unveils a tapestry of flavor where potency meets finesse. The bold alpha acid content is complemented by a captivating array of tropical notes, seamlessly blending with the essence of Polish forest fruits, notably blackberries. This hop transforms a brew into an exquisite dance of strength and subtlety. Aroma: Immerse your senses in the intoxicating aroma of Amora Preta. The richness of blackberries takes center stage, joined by tropical allure and underscored by resin and zest. Mandarin, oranges, red grapefruit, and lime intertwine, adding layers of complexity that elevate the aromatic symphony to new heights."
Anchovy,U.S.,Both,Pellet,12,6,30,Boil,"Anchovy is a new experimental variety from Segal Ranch in the lower Yakima Valley. Initially, it went by the name 24B-05 but was given the controversial name Anchovy by Matt Storm and Brian Strumke from Fast Fashion Brewing in Seattle. Fast Fashion was the first brewery to sponsor acreage, so they have been the only folks to get a chance to brew with it so far, but now there is a very limited amount of 2023 crop year available. Fast Fashion Brewing describes the variety as ""watermelon hard candy, raspberry, and pine."" Try it for yourself today and brew up something amazing!"
Apollo,U.S.,Bittering,Pellet,17,6.75,85,Boil,"Super high alpha variety from the Hopsteiner breeding program released in 2006. High alpha and low cohumulone makes it a great bittering hop. Adds a strong grapefruit/hop note if added late in boil. Used for: IPA, IIPA Aroma: Strong grapefruit and hoppy notes Substitutes: Nugget, CTZ, Bravo Storage: Excellent/Very Good (80-90% AA remaining after 6 months at 20 C) 15-19% AA / 5.5-8% Beta"
Apolon,Slovenia,Both,Pellet,11,4,43,Boil,A Slovenian hybrid that is a cross between Brewer's Gold and a Yugoslavian wild male. Once thought to be related to Super Styrian. Traditionally bred for bittering can also be used as an aroma hop.
Aquila,U.S.,Aroma,Pellet,6.5,3,35,Boil,Aroma hops developed in 1988. Limited use due to high cohumolone. Used for: Aroma hops Substitutes: Cluster No longer commercially grown.
Aramis,France,Aroma,Pellet,8.1,4.2,15,Boil,"Very fine spice and herbal notes with subtle citrus characteristics. Closely resembling Strisselspalt, but with higher oil and alpha content. Used for: Belgian-style Ales Substitutions: Willamette, Challenger, Ahtanum Storage: Unknown"
Arcadian,U.S.,Aroma,Pellet,9.8,7.5,30,Boil,"Arcadian hops, cultivated in the United States of America, are a product of Great Lake Hops. This hop variety is primarily used for its aromatic qualities, especially in late boil additions and dry hopping. The flavor and aroma profile of Arcadian hops are distinct and captivating. As noted from the SMaSH brew sensory conducted by the GLH team, Arcadian hops impart unmistakable orange/tangerine flavors and aromas to the beer. This aligns with the sensory notes that highlight its light essence and floral nature. Aroma: Floral, Orange, Tangerine"
Archer,UK,Aroma,Pellet,5,2.5,15,Boil,A new variety from the Charles Faram Hop program. Classic British aroma with a citrus twist. Aroma is floral with delicate hints of lime and peach. Provides traditional British assertiveness.
Ariana,Germany,Aroma,Pellet,12,5.4,15,Boil,"Developed at the hop research center in Hull, Germany. A cross between Hurkules and a wild male. Aromas include black currant, grapefruit, gooseberry, geranium and vanilla."
Astra,Australia,Both,Pellet,8.5,5,30,Boil,"Astra hops have sweet tropical fruit flavors and New World characteristics. Flavor profiles with green melon, white peaches, white wine and a light grassiness, grapefruit and honey, the hop balances out nicely between a sweetness with a bit of a bite. Aroma: tropical_fruit, sweet. peach, white_wine, melon, grassy. grapefruit. honey"
Atlas,Slovenia,Bittering,Pellet,9,3.7,15,Boil,"A cross between Brewers Gold and Slovenian wild hops. Primarily a bittering hop with pleasant bitterness and aroma. Used for: Bittering ales, lagers Substitutes: Brewers Gold"
Atlas (Styrian Atlas),Slovenia,Bittering,Pellet,9.5,3.7,15,Boil,"A cross between Brewers Gold and Slovenian wild hops. Primarily a bittering hop with pleasant bitterness and aroma. Used for: Bittering ales, lagers Aroma: Fresh hoppy aroma Substitutes: Brewers Gold Storage: Very Good 7-11% AA / 3.2-41% Beta"
Aurora,Slovenia,Both,Pellet,8.25,3.5,23,Boil,Also called Super Styrian. This is a hybrid between Northern Brewer and TG. It has a pleasant hoppy aroma similar to Styrian Goldings but lighter. Used for: Often mixed with other hops in lagers. Substitutes: Styrian Goldings
Aurora (Super Styrian Aurora),Slovenia,Both,Pellet,8,4,23,Boil,"Also called Super Styrian Aurora. This is a hybrid between Northern Brewer and TG. Pleasant hoppy aroma similar to Styrian Golding but lighter. Used for: Strong Ale, Pale Ale, Bitter Aroma: Intense and pleasant hoppy aroma Substitutes: Styrian Golding Storage: Excellent/Very Good (80-85% AA after 6 months at 20 C) 7-9% AA/ 3-5% Beta"
Azacca,U.S.,Both,Pellet,15,2,15,Boil,"Notes: Dual purpose hop. Good for dry hopping Aroma: Citrus, tropical, floral"
Aztec,U.S.,Aroma,Pellet,5.25,4.25,30,Boil,"Aztec™ has risen from the ashes as the most unique among her Neomexicana sisters. Boasting superior growth, disease resistance and an incredibly pleasant aroma profile. Aroma: Lemon, Pepper, Herbal, Spice Cilantro, Lime zest, Lemon Candy, Jalapeno Licensed by Great Lakes Hops."
Banner,U.S.,Bittering,Pellet,10,4,35,Boil,Bittering hops developed in 1988. Use largely discontinued due to poor storage. Used for: U.S. style ales Substitutes: Cluster
Barbe Rouge,France,Aroma,Pellet,8.5,4,30,Boil,"Barbe Rouge is a new and exciting hop variety developed in the legendary growing region of Alsace, France. Barbe Rouge is a bright and delicate aroma hop that offers ripe red fruit flavors of currant, strawberry, and raspberry. It also offers zesty citrus aromas of oranges and limes while some people describe a unique kumquat character. Barbe Rouge is well suited for American IPAs, NEIPAs, and pale ales while still being delicate enough to use in a modern twist on a classic pilsner. Alpha Acid: 7 - 10% Total Oil 1.1-1.6ml/100g Myrcene 35-52 % Humulene 15-25 % Humulene / Caryophyllene 2.5-2-8 Linalool 4-5mg/100g Farnesene 2.5-3.5 mg/100g Geraniol 10 - 15mg / 100g"
Beata Hops,UK,Aroma,Pellet,5,10,15,Boil,"Beata is a low alpha British aromatic hop developed at Wye College in the UK in 1995 though it did not go into production until 2006. Lovely aroma, with classic British complexity. High beta levels also contribute unique properties. Honey, apricot and almond notes."
Belma,U.S.,Bittering,Pellet,11,4,25,Boil,"Belma® hops are a recent addition from Hops Direct and Puterbaugh Farms in the Yakima Valley. Belma has been tested as a dual-use hop and found to have an ambrosial mix of orange, melon, strawberry and pineapple with a slight hint of grapefruit. Backing that up, OSU created a Pale Malt with Belma which carried those same aroma and flavor characteristics. To date, Belma has also seen plenty of activity in the recreational brewing space with many home brewers documenting its use online in Pale Ales, IPAs, Blonde Ales and more. Virtually all have given it favorable marks. It was released in 2012."
Bergamot,U.S.,Aroma,Pellet,9.1,8,30,Boil,"​​Bergamot™ subtly nicknamed ""O.A.F."" by the brewers in the GLH Brew Group that have crafted incredible first round trial brews with this hop. There is no lack of orange in this hop. You won't need to garnish your beer with an orange slice ever again. Licensed by Great Lakes Hops Aroma: Orange, Dank, Cherry, Zest, Lemongrass, Lime Aid, Juniper, Orange Juice, Mango"
Bertwell,Canada,Bittering,Pellet,5,2,30,Boil,"Bertwell hops have a fascinating origin story. They were discovered growing wild near Picton, Ontario, and subsequent test brews and laboratory studies have led to the belief that this variety may be a survivor from Ontario’s original pioneer brewing days, when Upper Canada was a barley belt for the British Empire. The hops were named Bertwell in honor of Bert Grant, a renowned craft brewer and hop lover, and Wellington County, the site of their first commercial hopyard. It's thought that these plants are probably British survivors from Prince Edward County’s 'Barley Days', a period when Upper Canada was a barley and hop growing stronghold of the British Empire. Flavor: Citrus, Floral"
Bitter Gold,U.S.,Both,Pellet,17,7,45,Boil,"Intense stone fruit especially pear and watermellon. A super-alpha variety with excellent aroma. Used for: All Styles Substitutions: Galena, Nugget"
Blato,Czech Republic,Aroma,Pellet,5,2,30,Boil,"Blato was one of the first hops authorized in Czechia (formerly Czechoslovakia) for commercial production. It is not usually singled out, but is one of the collective known as Saaz Hops, or Bohemian Early Red. It doesn’t yield very well in the U.S., but it is suspected to be much more prolific in its native homeland. Zatec Hop Company in Czechia states that in the analysis of the oils and resins, Blato and its siblings have proven to have the same fine aromatic profile of other Saaz hops one that is genuine and delicate. Flavor/Aroma: Earthy, Floral, Herbal, Mild, Noble"
Boadicea,United Kingdom,Both,Pellet,8.5,3.5,15,Boil,Released in 2004. Excellent for finishing and dry hopping. Used for: Ales Aroma: Mild floral and spicy characteristics with slightly grassy overtones Substitutions: Unknown Storage: Unknown 7-10% AA / 3-4% Beta
Bobek,Slovenia,Both,Pellet,5.25,5,20,Boil,Also called Styrian Golding B - a cross between Northern Brewer and a TG seedling. Pleasant hop aroma and flavor. Used for: Moderate English ales and lagers/Pilsners Substitutes: Northern Brewer
Bobek (Styrian Golding B),Slovenia,Both,Pellet,5.25,5,20,Boil,"Also called Styrian Golding B - a cross between Northern Brewer and a TG seedling. Used for: English Ales, ESB, Lagers, Pilsners Aroma: Intense and pleasant hoppy aroma Substitutes: Northern Brewer, Styrian Golding, UK or US Fuggle, Willamette Storage: Unknown 3.5-7% AA / 4-6.1% Beta"
Boomerang,Czech Republic,Bittering,Pellet,10.4,7.4,30,Boil,"Released in 2017, this hop variety from the Czech Republic has quickly garnered attention for its unique aroma and flavor profile. Boomerang hops are known for their spicy and hoppy characteristics, complemented by a slightly citrussy undertone. Additionally, they carry notes of fruity aroma, making them a versatile choice for brewers. These hops are particularly suitable for lagers and ales, two beer styles that can benefit from the distinct flavors that Boomerang hops bring to the table. Boomerang hops are primarily used as a bitter hop variety. They are ideal for both first and second hopping, ensuring that the beer has a robust and layered hop profile. Furthermore, for those looking to craft special beers with a unique twist, Boomerang hops can be used for dry hopping. This method enhances the aroma and flavor of the beer, giving it a fresh and vibrant character that stands out. Characteristics"
Bouclier,France,Aroma,Pellet,7.5,3,15,Boil,"A cross between Alsace grown Strisselspalt and a wild male plant from Wye, Kent. Grassy with hints of spice. Aromas of herbs, grass, spice with some floral and citrus character."
Bramling,United Kingdom,Aroma,Pellet,7.2,3,30,Boil,"Bramling hops, popular in England around the turn of the 20th century, were extensively used in golden and rye ales. Despite their origin being unknown, they were widely cultivated by 1865. However, due to their increasingly low yield, they have fallen out of favor over time. Today, they are grown in British Columbia, catering to Canadian breweries that desire aroma hops. Bramling hops are characterized by their very low alpha acids, around 5.8%, and moderately low cohumulone, approximately 27%. This combination results in a pleasant European aroma, making them an ideal choice for beers where a more pronounced aroma is desired. Their flavor profile is quite distinctive, with notes of lemon, blackcurrant, blackberries, and plums, especially when used as a late addition in the brewing process. These hops are particularly suited to all English beer styles, including golden ale, bitter, rye ale, India pale ale, stout, and holiday ale. Flavor/Aroma: Black Currant, Blackberry, Lemon, Plum"
Bramling Cross,United Kingdom,Aroma,Pellet,6,3,35,Boil,"Developed in 1927 from commercial Goldings and wild hop variety. Used for: ESB, Bitters, Pale Ale Aroma: Mild, fruity, currant aroma. Substitutes: East Kent Goldings, Progress, Whitbred"
Bravo,U.S.,Bittering,Pellet,15.5,3.5,30,Boil,"A second generation super high alpha hops from the Hopsteiner breeding program released in 2006. Good bittering hop. Aroma: Fruity and floral aroma. Substitutes: Columbus, Zeus, Tomahawk"
Brewer's Gold,U.S.,Bittering,Pellet,8.5,4,35,Boil,"Primarily a bittering hop and commonly used in lighter style ales, although it works well in lagers. Used for: English ales, German styles, farmhouse ales. Aroma: Bittering hop with neutral aroma character, spice noted to its flavor and aroma Substitutes: Northdown, Northern Brewer (Germany), Galena, Bullion, Chinnok, Cascade (U.S.) Storage: Fair (60-70% AA after 6 months at 20 C) 7-10% AA / 3.5-4.5% Beta"
"Brewer's Gold, Germany",Germany,Bittering,Pellet,7,3,15,Boil,"Black currant, fruit and spice characteristics. Has a high resin content and gives a well-balanced bitterness which is ideally complimented by late hop additions in lager beers. Usage: Ale, Bière de Garde, Lambic, Lager, Saison Substitutions: Galena, Northdown, Northern Brewer Storage: Unknown"
